Plant_Name,Best_Season,Depth_cm,Texture,pH,Organic_Matter_%,Moisture_Content_%,Bulk_Density_g/cm³,Nitrogen_N_ppm,Phosphorus_P_ppm,Potassium_K_ppm,Cation_Exchange_Capacity_meq/100g,Electrical_Conductivity_dS/m,Soil_Color,Porosity_%,Water_Holding_Capacity_%
Cardamom,Winter,24.9,Clayey,5.96,1.12,20.31,1.23,61.73,5.37,54.56,19.34,4.5,Yellow,37.2,41.47
Watermelon,Winter,10.2,Silty,7.73,4.87,13.44,1.28,74.82,34.38,157.28,12.88,3.05,Red,46.06,49.92
Chickpea,Winter,98.6,Loamy,6.57,1.08,11.59,1.57,46.55,18.79,63.68,17.49,2.74,Red,44.05,46.29
Raspberry,Winter,91.6,Sandy,7.25,1.0,20.96,1.35,22.84,28.1,195.03,6.01,4.04,Gray,43.49,22.97
Bamboo,Spring,15.0,Silty,5.8,2.57,11.42,1.38,51.35,28.9,122.34,15.67,2.48,Yellow,39.47,38.22
Cabbage,Summer,85.0,Loamy,6.42,3.46,13.13,1.54,96.69,31.65,166.31,11.76,1.47,Red,51.81,39.96
Zucchini,Winter,51.2,Silty,7.0,2.1,14.27,1.54,29.27,42.06,143.28,26.6,0.86,Red,44.45,38.92
Celery,Summer,33.3,Loamy,6.2,1.37,10.06,1.36,68.42,18.45,192.79,13.94,2.85,Yellow,36.07,37.04
Kiwi,Summer,89.1,Clayey,7.13,4.19,14.6,1.16,98.43,16.53,196.05,9.81,2.18,Gray,46.42,28.77
Kiwi,Spring,27.7,Sandy,6.16,2.13,27.32,1.24,43.86,40.81,91.83,18.24,2.05,Brown,47.9,40.06
Chili,Winter,95.3,Sandy,7.45,1.37,34.59,1.33,89.91,37.34,122.43,25.27,1.81,Yellow,30.64,41.85
Taro,Spring,28.5,Clayey,8.21,2.14,15.8,1.48,87.76,15.15,125.64,13.85,3.39,Yellow,36.11,37.27
Lettuce,Winter,65.2,Loamy,5.76,1.47,12.43,1.46,40.51,5.04,76.65,26.17,2.64,Yellow,37.27,34.91
Corn,Spring,30.1,Silty,6.15,2.84,31.89,1.42,18.87,34.97,185.59,13.15,2.73,Gray,37.44,26.57
Cauliflower,Summer,59.1,Loamy,8.03,3.51,10.24,1.54,26.07,12.07,102.44,23.39,1.61,Gray,37.17,36.34
Turmeric,Winter,71.6,Sandy,7.39,4.1,32.02,1.5,42.92,48.06,63.12,7.88,3.11,Yellow,38.15,23.85
Rice,Autumn,27.1,Clayey,5.74,1.52,13.93,1.59,96.32,32.2,73.18,6.56,2.08,Red,37.88,22.18
Chili,Summer,56.9,Clayey,6.96,1.25,16.85,1.54,34.7,43.23,127.0,23.44,3.87,Brown,56.52,43.34
Beetroot,Autumn,52.2,Loamy,6.13,0.59,13.6,1.2,93.42,41.25,182.25,14.21,2.69,Black,39.59,40.29
Guava,Summer,16.4,Loamy,6.1,1.53,17.42,1.13,26.32,30.1,144.23,14.82,1.52,Yellow,40.49,39.47
Rice,Spring,83.6,Clayey,8.32,0.61,33.95,1.31,97.28,24.73,82.22,19.35,0.82,Yellow,37.99,47.84
Tobacco,Winter,40.2,Sandy,7.78,2.05,13.98,1.41,36.42,27.36,94.52,29.67,3.53,Gray,59.03,31.42
Coriander,Summer,61.7,Silty,7.59,1.16,39.82,1.42,66.98,41.13,196.4,9.29,1.92,Gray,46.06,31.99
Cabbage,Spring,56.3,Silty,6.22,3.11,19.81,1.23,16.27,33.82,57.93,12.5,0.42,Black,48.32,32.41
Mango,Winter,56.2,Loamy,5.86,2.23,37.66,1.53,36.97,14.26,199.15,21.22,4.58,Gray,52.06,33.96
Avocado,Winter,19.7,Clayey,8.11,0.92,15.7,1.26,28.96,32.42,185.88,22.52,1.99,Gray,40.01,35.39
Rosemary,Summer,48.1,Clayey,5.52,2.3,15.64,1.56,10.31,23.21,151.77,22.65,3.76,Red,59.06,43.34
Cauliflower,Winter,50.7,Clayey,6.66,1.44,26.96,1.34,24.11,7.76,191.48,19.89,2.35,Brown,34.57,26.53
Bell Pepper,Summer,76.0,Sandy,6.33,3.56,11.52,1.11,63.38,22.16,72.87,19.71,4.47,Red,43.73,33.02
Coconut,Winter,85.6,Loamy,7.21,2.14,34.03,1.18,45.09,15.24,191.39,8.7,0.24,Yellow,34.36,35.15
Kale,Autumn,59.0,Loamy,6.25,1.16,23.19,1.15,75.03,42.74,81.89,25.87,1.37,Red,53.71,25.07
Thyme,Spring,17.8,Loamy,6.43,2.07,30.98,1.12,70.4,9.72,131.93,5.22,2.77,Black,33.22,41.06
Tea,Autumn,31.3,Sandy,8.05,1.51,15.24,1.46,81.94,21.23,123.31,15.44,1.68,Red,46.62,21.69
Okra,Summer,24.8,Loamy,7.31,4.08,29.27,1.2,88.03,36.3,126.87,10.39,3.74,Gray,33.14,37.58
Coriander,Autumn,21.2,Silty,5.94,4.93,27.82,1.52,83.78,45.38,90.11,7.61,3.47,Black,43.58,26.06
Passion Fruit,Summer,42.9,Loamy,7.68,0.61,32.67,1.23,50.33,20.09,167.1,12.99,0.23,Black,38.41,20.25
Chickpea,Winter,30.6,Loamy,6.12,3.61,18.92,1.12,37.79,32.29,161.39,21.43,3.04,Yellow,57.1,29.47
Jute,Winter,29.6,Loamy,6.8,1.69,37.99,1.51,55.21,21.81,193.09,17.43,4.2,Yellow,31.59,32.87
Jute,Summer,14.9,Sandy,7.44,0.8,38.84,1.33,58.16,14.13,126.05,26.84,1.65,Gray,49.5,44.52
Walnut,Autumn,11.6,Silty,6.32,0.56,36.04,1.4,38.19,19.66,132.21,19.99,0.78,Brown,50.86,32.24
Jute,Winter,19.2,Silty,6.65,4.46,27.16,1.27,58.6,33.62,185.51,11.33,3.72,Black,56.67,47.46
Black Pepper,Spring,25.5,Clayey,7.7,2.09,22.61,1.12,19.52,37.24,187.92,17.88,4.51,Gray,56.33,45.28
Clove,Winter,48.8,Clayey,8.31,4.98,11.74,1.29,30.79,21.68,147.43,10.68,3.32,Yellow,59.31,25.78
Tobacco,Spring,55.9,Silty,7.09,2.49,38.42,1.36,77.14,11.86,173.06,9.47,4.25,Yellow,37.62,24.67
Corn,Autumn,22.7,Loamy,5.53,1.34,38.55,1.11,26.45,11.28,125.77,28.88,4.99,Brown,38.24,27.32
Black Pepper,Spring,48.2,Loamy,6.52,4.0,10.56,1.39,22.51,41.57,108.23,16.7,2.55,Black,41.92,30.79
Potato,Spring,40.8,Loamy,6.7,4.67,20.71,1.55,35.86,34.4,179.61,21.28,4.68,Black,46.13,37.5
Cabbage,Spring,26.5,Sandy,6.52,4.17,36.4,1.21,43.39,37.76,166.59,26.84,1.79,Gray,41.01,23.72
Cherry,Spring,10.6,Loamy,6.81,3.85,12.43,1.56,39.57,26.97,86.36,13.05,3.75,Brown,52.21,35.96
Pomegranate,Winter,52.0,Sandy,7.4,2.01,15.9,1.15,43.71,25.58,57.15,24.73,4.52,Red,30.26,37.42
Sunflower,Spring,71.7,Silty,5.86,0.79,39.36,1.51,22.59,14.5,134.84,24.72,2.65,Gray,30.53,39.83
Soybean,Winter,30.4,Loamy,6.32,1.41,35.42,1.52,24.89,12.58,176.24,25.6,3.17,Black,51.48,36.5
Bell Pepper,Spring,21.9,Loamy,7.02,2.51,37.36,1.23,31.23,11.93,87.08,9.74,4.86,Gray,56.49,44.76
Coriander,Summer,89.8,Clayey,6.45,4.8,14.26,1.58,46.18,49.63,165.11,29.07,1.33,Gray,53.3,39.25
Lentils,Autumn,34.8,Silty,8.47,3.75,16.34,1.31,40.23,41.94,112.1,11.87,1.84,Gray,33.51,47.74
Cotton,Spring,30.1,Loamy,6.79,4.23,28.16,1.17,81.22,33.18,100.36,24.42,3.88,Gray,58.05,41.03
Eggplant,Summer,87.1,Sandy,8.11,1.75,25.05,1.4,57.3,14.65,75.92,9.06,1.77,Black,45.66,33.08
Turmeric,Spring,83.5,Silty,8.19,3.58,18.96,1.6,61.81,20.19,190.14,28.11,2.55,Brown,52.27,26.29
Rice,Spring,50.4,Clayey,8.01,4.38,36.52,1.55,60.45,20.79,83.85,15.7,0.35,Brown,36.03,20.32
Broccoli,Spring,54.0,Silty,5.64,2.66,37.04,1.24,45.89,26.5,91.88,21.72,2.87,Yellow,46.46,22.71
Okra,Summer,29.6,Sandy,8.34,2.43,18.75,1.39,98.24,23.99,99.72,26.25,3.17,Yellow,39.9,25.69
Coriander,Autumn,17.0,Clayey,5.89,3.74,14.67,1.16,13.36,47.04,92.7,12.06,0.5,Red,59.24,26.49
Blueberry,Summer,61.6,Sandy,5.6,3.02,14.47,1.33,29.43,37.44,74.44,14.72,1.3,Brown,44.23,42.26
Vanilla,Autumn,18.9,Silty,6.74,4.97,24.53,1.36,35.62,8.66,103.17,12.83,2.22,Gray,52.67,31.58
Carrot,Spring,50.4,Clayey,6.08,2.41,13.99,1.26,89.32,21.2,120.77,12.07,3.93,Yellow,48.1,29.74
Walnut,Winter,94.6,Sandy,6.05,1.29,24.2,1.34,92.7,10.98,132.77,17.76,0.21,Gray,32.83,21.57
Pineapple,Spring,95.8,Silty,6.36,2.62,23.86,1.56,86.15,17.57,73.47,18.67,1.72,Red,46.29,36.16
Dragon Fruit,Autumn,31.5,Sandy,6.25,1.56,36.52,1.35,47.53,48.15,166.91,6.92,0.12,Brown,46.21,38.39
Sweet Potato,Summer,66.2,Loamy,7.55,3.03,18.89,1.52,92.32,36.74,96.73,21.83,2.65,Black,51.47,46.34
Grapes,Spring,52.7,Silty,6.06,1.07,26.82,1.26,18.87,5.35,187.69,15.5,2.54,Red,39.66,35.09
Date Palm,Summer,88.8,Clayey,7.13,4.77,32.3,1.59,68.72,19.8,99.43,27.24,3.8,Black,55.82,20.23
Soybean,Summer,34.4,Clayey,8.46,4.37,27.88,1.15,94.35,24.74,179.43,27.14,0.12,Brown,48.68,21.96
Rice,Summer,10.3,Loamy,6.8,1.2,38.62,1.39,77.94,32.11,102.88,23.0,3.82,Black,31.18,28.13
Tomato,Spring,24.6,Sandy,7.43,1.28,28.07,1.49,35.01,27.49,125.87,26.34,4.47,Brown,51.21,24.18
Ginger,Summer,41.5,Sandy,8.41,2.81,37.06,1.51,74.58,8.14,105.85,28.06,1.66,Gray,57.21,43.12
Soybean,Summer,38.4,Clayey,5.91,3.98,17.35,1.2,36.53,28.2,108.06,19.43,1.74,Red,50.49,23.24
Ginger,Spring,81.2,Sandy,6.76,1.49,26.82,1.3,20.04,10.86,142.79,29.3,0.11,Gray,41.4,24.82
Watermelon,Summer,71.3,Silty,8.05,0.77,26.3,1.41,74.55,28.36,153.94,28.88,2.2,Brown,47.72,40.0
Rubber,Spring,37.0,Silty,8.3,2.95,39.68,1.26,26.13,16.07,180.57,7.75,3.1,Brown,35.14,27.19
Sunflower,Autumn,51.2,Clayey,7.3,3.61,16.14,1.43,20.0,11.49,135.36,18.07,0.7,Gray,48.04,49.07
Eggplant,Autumn,18.6,Silty,5.93,1.6,14.23,1.29,59.66,17.96,82.53,7.86,3.32,Gray,45.03,45.9
Vanilla,Autumn,90.8,Clayey,8.2,3.83,28.35,1.28,65.86,9.48,198.44,22.1,1.89,Gray,30.78,42.34
Orange,Summer,94.2,Sandy,6.02,4.78,16.71,1.15,14.6,17.78,152.57,24.13,3.4,Red,39.66,30.29
Pear,Winter,98.2,Sandy,6.56,1.12,29.17,1.12,10.4,44.01,106.21,27.12,1.33,Red,35.74,21.7
Jute,Winter,88.2,Sandy,6.63,2.8,39.17,1.52,89.39,18.82,195.23,21.25,3.9,Brown,41.72,30.09
Taro,Summer,25.7,Loamy,6.84,0.76,38.4,1.34,20.37,26.16,193.77,16.35,2.79,Yellow,37.25,31.3
Lentils,Winter,14.2,Clayey,7.87,1.43,16.93,1.38,62.55,28.39,61.93,8.9,2.71,Gray,55.03,23.82
Pearl Millet,Spring,62.2,Silty,7.91,0.9,15.13,1.29,95.82,13.02,52.97,8.13,2.49,Black,50.93,23.62
Pistachio,Winter,92.1,Sandy,7.66,2.32,26.82,1.17,56.07,24.88,56.67,17.14,4.23,Black,52.2,40.04
Chickpea,Summer,26.0,Loamy,5.57,4.19,27.6,1.32,22.58,43.38,152.8,25.81,2.82,Black,40.83,26.97
Raspberry,Summer,10.6,Silty,7.19,3.1,29.87,1.21,45.41,8.62,156.63,23.77,0.88,Gray,30.1,40.34
Dragon Fruit,Spring,82.5,Silty,7.74,1.5,32.24,1.52,66.16,46.53,158.6,27.02,3.17,Yellow,36.57,36.45
Celery,Autumn,16.9,Silty,6.83,0.68,28.03,1.59,78.66,44.2,144.54,25.27,2.62,Yellow,52.66,47.04
Jute,Summer,47.2,Sandy,8.33,2.99,13.35,1.54,64.62,43.51,92.82,10.14,0.44,Red,48.09,43.92
Strawberry,Spring,71.1,Silty,7.97,1.1,33.7,1.36,13.09,13.93,75.07,10.01,2.95,Yellow,46.16,24.54
Asparagus,Winter,31.3,Clayey,7.41,2.04,12.39,1.41,22.88,26.79,189.18,16.45,0.49,Black,38.42,38.3
Passion Fruit,Winter,17.6,Loamy,5.69,2.8,10.6,1.57,43.46,32.73,186.97,9.78,3.65,Black,32.27,39.59
Yam,Spring,79.3,Silty,7.46,4.57,33.09,1.37,73.51,9.5,86.37,9.69,3.31,Gray,53.55,45.86
Turmeric,Spring,66.7,Silty,8.23,0.87,26.45,1.42,62.59,30.06,75.19,11.69,2.52,Red,31.16,39.23
Lettuce,Summer,99.0,Clayey,6.64,3.51,30.96,1.41,14.02,42.8,106.3,5.56,3.77,Brown,31.77,24.22
Cucumber,Winter,41.0,Silty,8.01,0.56,21.48,1.45,81.72,47.14,57.26,19.28,1.48,Red,38.85,27.75
Bell Pepper,Spring,15.6,Sandy,6.44,3.33,10.33,1.42,64.46,17.52,74.32,14.92,2.29,Brown,47.19,39.13
Coriander,Winter,76.1,Sandy,7.21,2.98,19.93,1.44,89.84,17.99,107.04,10.93,0.17,Red,59.77,47.36
Coffee,Spring,57.0,Sandy,7.45,4.15,28.24,1.46,47.59,17.18,85.81,8.36,4.94,Yellow,32.72,46.75
Radish,Winter,29.2,Silty,7.53,2.89,16.77,1.5,54.12,11.91,160.52,16.4,0.38,Red,44.2,30.78
Chickpea,Autumn,80.4,Loamy,8.15,2.09,30.63,1.3,46.5,24.38,185.74,20.05,0.61,Gray,48.05,44.92
Cashew,Summer,28.3,Loamy,6.2,1.59,33.83,1.47,75.02,40.3,186.37,29.33,2.52,Brown,54.69,35.34
Hemp,Winter,33.5,Silty,6.29,0.88,23.63,1.15,77.69,37.04,140.64,11.35,1.94,Yellow,50.69,33.93
Bell Pepper,Autumn,18.3,Loamy,7.61,2.91,36.27,1.54,75.09,45.51,155.52,5.66,2.71,Yellow,54.23,30.53
Blueberry,Winter,45.9,Loamy,6.03,4.5,35.64,1.25,36.24,21.01,124.1,23.4,4.19,Red,45.67,40.35
Cotton,Winter,47.7,Silty,6.89,2.82,36.34,1.3,67.24,30.75,72.0,10.88,0.88,Yellow,43.02,37.99
Chili,Autumn,56.3,Sandy,5.56,3.83,29.83,1.5,40.47,39.49,145.26,17.11,3.23,Black,48.56,31.24
Wheat,Winter,73.8,Silty,5.92,1.84,19.14,1.42,85.08,45.42,102.49,25.21,0.19,Black,57.03,42.89
Carrot,Winter,91.5,Sandy,7.54,2.52,24.44,1.25,14.96,44.23,50.87,5.92,3.97,Black,46.53,31.38
Chili,Summer,22.4,Sandy,7.74,1.96,31.32,1.21,13.39,25.95,136.24,8.54,4.1,Red,48.17,37.53
Rubber,Autumn,14.9,Loamy,5.85,0.99,16.32,1.58,19.15,45.81,79.76,7.45,1.96,Brown,40.14,31.77
Millet,Autumn,11.7,Loamy,6.18,2.38,32.17,1.14,28.21,24.98,182.98,10.84,0.95,Red,47.88,23.51
Sweet Potato,Spring,22.9,Sandy,5.8,3.94,26.44,1.1,13.39,45.63,190.09,9.33,4.07,Gray,48.83,24.84
Carrot,Winter,69.2,Sandy,6.8,2.28,12.88,1.44,16.45,39.96,74.33,12.92,4.56,Yellow,52.6,39.7
Pineapple,Summer,75.5,Loamy,5.88,3.43,26.72,1.41,37.55,14.97,54.41,23.66,0.47,Black,47.17,44.34
Pineapple,Winter,80.8,Clayey,6.81,3.91,12.0,1.47,18.98,46.84,50.61,6.06,2.94,Red,35.93,34.05
Mango,Winter,31.9,Sandy,7.7,1.95,10.43,1.47,82.19,15.91,186.96,6.84,4.7,Red,47.46,29.77
Barley,Spring,37.5,Sandy,7.55,4.09,36.69,1.53,14.85,45.88,72.8,19.11,3.25,Yellow,38.94,30.09
Coffee,Winter,53.5,Sandy,6.34,2.03,24.7,1.56,91.71,32.68,115.3,18.01,4.12,Red,32.62,37.93
Garlic,Summer,15.7,Loamy,7.52,1.65,26.3,1.49,88.38,35.03,58.57,16.85,1.23,Black,54.76,34.03
Potato,Summer,65.0,Silty,8.28,1.5,18.4,1.22,28.75,9.92,106.0,17.9,0.6,Yellow,31.98,20.02
Cherry,Spring,98.5,Sandy,6.54,1.4,26.28,1.33,16.44,7.96,167.81,23.55,1.94,Brown,48.95,43.14
Raspberry,Winter,42.5,Sandy,6.49,3.82,15.07,1.42,19.5,48.58,111.0,19.4,2.04,Black,59.65,24.27
Sorghum,Summer,77.8,Sandy,7.21,4.49,32.37,1.37,60.32,20.16,166.34,16.42,3.95,Gray,32.63,40.24
Orange,Winter,55.0,Silty,6.24,1.54,34.7,1.18,64.08,43.0,153.33,7.04,2.09,Gray,36.6,30.33
Mango,Winter,21.5,Silty,7.45,0.88,35.68,1.39,38.4,36.7,127.6,29.37,1.26,Yellow,52.82,37.34
Pistachio,Winter,62.4,Sandy,8.0,1.91,13.2,1.54,36.72,32.19,160.66,10.98,4.44,Black,32.91,45.65
Spinach,Spring,37.0,Sandy,6.88,3.46,26.73,1.31,57.84,35.83,181.87,26.73,3.94,Black,54.98,24.63
Jute,Winter,13.1,Clayey,7.54,2.16,34.26,1.43,37.51,9.02,168.95,14.47,3.37,Black,30.01,43.33
Chili,Summer,67.1,Silty,7.46,2.97,13.85,1.41,94.09,23.56,153.76,22.1,1.11,Gray,56.7,21.15
Papaya,Winter,87.3,Clayey,5.62,3.85,12.99,1.29,44.44,32.32,155.27,16.35,1.1,Yellow,32.0,47.64
Green Gram,Summer,41.0,Sandy,6.05,2.34,34.51,1.38,29.78,44.04,74.16,13.85,2.51,Gray,57.66,26.05
Vanilla,Winter,45.1,Sandy,8.18,5.0,33.9,1.21,23.14,37.16,192.6,20.36,2.7,Red,55.94,43.83
Brussels Sprout,Summer,90.2,Sandy,8.32,1.84,23.46,1.37,66.85,16.38,80.85,18.4,1.35,Brown,46.19,22.02
Kale,Summer,83.2,Sandy,7.84,4.9,13.29,1.5,39.4,49.32,102.34,10.81,0.7,Gray,53.34,29.81
